"country";"year";"population";"gdp";"carbon_intensity_elec";"coal_electricity";"coal_production";"electricity_demand";"electricity_generation";"energy_cons_change_pct";"energy_per_gdp";"fossil_electricity";"gas_electricity";"gas_production";"greenhouse_gas_emissions";"hydro_electricity";"net_elec_imports";"nuclear_consumption";"nuclear_electricity";"oil_electricity";"oil_production";"other_renewable_electricity";"primary_energy_consumption";"renewables_electricity";"solar_electricity";"wind_electricity"
"Algeria";2000;30.774624;208.55414784;495.186;0;0;23.82;23.89;-3.689;1.438;23.84;23.11;918.886;11.83;0.05;-0.07;0;0;0.73;776.733;0;299.946;0.05;0;0
"Algeria";2001;31.200984;223.420301312;494.606;0;0;24.98;25.03;3.623;1.391;24.96;24.23;864.725;12.38;0.07;-0.05;0;0;0.73;764.684;0;310.813;0.07;0;0
"Algeria";2002;31.6247;245.36088576;493.267;0;0;25.97;25.99;3.583;1.312;25.93;25.37;889.416;12.82;0.06;-0.02;0;0;0.56;824.497;0;321.951;0.06;0;0
"Algeria";2003;32.055882;273.56864512;490.831;0;0;27.82;27.81;4.65;1.232;27.55;26.9;938.576;13.65;0.26;0.01;0;0;0.65;918.828;0;336.922;0.26;0;0
"Algeria";2004;32.510184;296.773615616;490.983;0;0;29.4;29.39;3.816;1.179;29.14;28.49;920.549;14.43;0.25;0.01;0;0;0.65;971.698;0;349.778;0.25;0;0
"Algeria";2005;32.95669;326.854475776;486.368;0;0;31.99;31.91;4.715;1.121;31.36;30.66;849.117;15.52;0.55;0.08;0;0;0.7;1005.27;0;366.272;0.55;0;0
"Algeria";2006;33.435082;345.70534912;491.699;0;0;33.21;33.13;3.535;1.097;32.91;32.2;812.995;16.29;0.22;0.08;0;0;0.71;1002.529;0;379.22;0.22;0;0
"Algeria";2007;33.983836;371.665207296;491.71;0;0;34.99;34.98;5.385;1.075;34.76;34.01;816.46;17.2;0.22;0.01;0;0;0.75;1005.786;0;399.64;0.22;0;0
"Algeria";2008;34.569592;395.658559488;490.88;0;0;37.78;37.83;5.985;1.071;37.55;36.81;826.008;18.57;0.28;-0.05;0;0;0.74;985.771;0;423.557;0.28;0;0
"Algeria";2009;35.19604;418.247671808;489.503;0;0;36.17;36.2;5.974;1.073;35.9;35.33;765.669;17.72;0.3;-0.03;0;0;0.57;898.231;0;448.859;0.3;0;0
"Algeria";2010;35.856348;450.705883136;492.558;0;0;42.93;43;-2.198;0.974;42.83;41.92;773.966;21.18;0.17;-0.07;0;0;0.91;858.003;0;438.995;0.17;0;0
"Algeria";2011;36.543548;482.034778112;489.516;0;0;48.03;48.17;5.807;0.964;47.67;46.67;795.987;23.58;0.5;-0.14;0;0;1;833.58;0;464.488;0.5;0;0
"Algeria";2012;37.260568;497.92335872;488.424;0;0;53.94;53.99;9.297;1.02;53.37;52.37;784.438;26.37;0.62;-0.05;0;0;1;781.676;0;507.672;0.62;0;0
"Algeria";2013;38.000628;511.887736832;490.589;0;0;56.23;56.32;5.772;1.049;55.99;55.14;793.389;27.63;0.33;-0.09;0;0;0.85;753.438;0;536.977;0.33;0;0
"Algeria";2014;38.760168;531.308085248;490.232;0;0;60.21;60.4;9.057;1.102;60.15;59.55;801.724;29.61;0.25;-0.19;0;0;0.6;799.807;0;585.613;0.25;0;0
"Algeria";2015;39.543148;551.519125504;491.187;0;0;64.65;64.68;5.448;1.12;64.46;63.61;814.111;31.77;0.14;-0.03;0;0;0.85;781.827;0;617.518;0.22;0.06;0.02
