"country";"year";"iso_code";"population";"gdp";"biofuel_elec_per_capita";"biofuel_electricity";"biofuel_share_elec";"carbon_intensity_elec";"coal_elec_per_capita";"coal_electricity";"coal_prod_change_twh";"coal_prod_per_capita";"coal_production";"coal_share_elec";"electricity_demand";"electricity_generation";"energy_cons_change_pct";"energy_cons_change_twh";"energy_per_capita";"energy_per_gdp";"fossil_elec_per_capita";"fossil_electricity";"fossil_share_elec";"gas_elec_per_capita";"gas_electricity";"gas_prod_change_twh";"gas_prod_per_capita";"gas_production";"gas_share_elec";"greenhouse_gas_emissions";"hydro_elec_per_capita";"hydro_electricity";"hydro_share_elec";"low_carbon_elec_per_capita";"low_carbon_electricity";"low_carbon_share_elec";"net_elec_imports";"net_elec_imports_share_demand";"nuclear_cons_change_twh";"nuclear_consumption";"nuclear_elec_per_capita";"nuclear_electricity";"nuclear_energy_per_capita";"nuclear_share_elec";"oil_elec_per_capita";"oil_electricity";"oil_prod_change_twh";"oil_prod_per_capita";"oil_production";"oil_share_elec";"other_renewable_electricity";"other_renewable_exc_biofuel_electricity";"other_renewables_elec_per_capita";"other_renewables_elec_per_capita_exc_biofuel";"other_renewables_share_elec";"other_renewables_share_elec_exc_biofuel";"per_capita_electricity";"primary_energy_consumption";"renewables_elec_per_capita";"renewables_electricity";"renewables_share_elec";"solar_elec_per_capita";"solar_electricity";"solar_share_elec";"wind_elec_per_capita";"wind_electricity";"wind_share_elec"
"Algeria";1999;"DZA";30346086;193179811840;NA;NA;NA;NA;NA;NA;-0.023;1.238;0.038;NA;NA;24.757;1.001;3.085;10262.746;1.612;NA;NA;NA;NA;NA;99.448;29693.092;901.069;NA;NA;6.689;0.203;0.82;6.689;0.203;0.82;NA;NA;0;0;0;0;0;0;NA;NA;-33.231;22430.768;680.686;NA;0;NA;0;NA;0;NA;815.822;311.434;6.689;0.203;0.82;0;0;0;0;0;0
"Algeria";2000;"DZA";30774624;208554147840;0;0;0;495.186;0;0;-0.038;0;0;0;23.82;23.89;-3.689;-11.489;9746.524;1.438;774.664;23.84;99.791;750.943;23.11;17.817;29858.57;918.886;96.735;11.83;1.625;0.05;0.209;1.625;0.05;0.209;-0.07;-0.294;0;0;0;0;0;0;23.721;0.73;96.047;25239.395;776.733;3.056;0;0;0;0;0;0;776.289;299.946;1.625;0.05;0.209;0;0;0;0;0;0
"Algeria";2001;"DZA";31200984;223420301312;0;0;0;494.606;0;0;0;0;0;0;24.98;25.03;3.623;10.867;9961.64;1.391;799.975;24.96;99.72;776.578;24.23;-54.161;27714.682;864.725;96.804;12.38;2.244;0.07;0.28;2.244;0.07;0.28;-0.05;-0.2;0;0;0;0;0;0;23.397;0.73;-12.049;24508.334;764.684;2.917;0;0;0;0;0;0;802.218;310.813;2.244;0.07;0.28;0;0;0;0;0;0
"Algeria";2002;"DZA";31624700;245360885760;0;0;0;493.267;0;0;0;0;0;0;25.97;25.99;3.583;11.138;10180.35;1.312;819.929;25.93;99.769;802.221;25.37;24.69;28124.088;889.416;97.614;12.82;1.897;0.06;0.231;1.897;0.06;0.231;-0.02;-0.077;0;0;0;0;0;0;17.708;0.56;59.813;26071.305;824.497;2.155;0;0;0;0;0;0;821.826;321.951;1.897;0.06;0.231;0;0;0;0;0;0
"Algeria";2003;"DZA";32055882;273568645120;0;0;0;490.831;0;0;0;0;0;0;27.82;27.81;4.65;14.972;10510.461;1.232;859.437;27.55;99.065;839.16;26.9;49.16;29279.365;938.576;96.728;13.65;8.111;0.26;0.935;8.111;0.26;0.935;0.01;0.036;0;0;0;0;0;0;20.277;0.65;94.331;28663.324;918.828;2.337;0;0;0;0;0;0;867.547;336.922;8.111;0.26;0.935;0;0;0;0;0;0
"Algeria";2004;"DZA";32510184;296773615616;0;0;0;490.983;0;0;0;0;0;0;29.4;29.39;3.816;12.856;10759.022;1.179;896.334;29.14;99.149;876.341;28.49;-18.027;28315.721;920.549;96.938;14.43;7.69;0.25;0.851;7.69;0.25;0.851;0.01;0.034;0;0;0;0;0;0;19.994;0.65;52.87;29889.039;971.698;2.212;0;0;0;0;0;0;904.024;349.778;7.69;0.25;0.851;0;0;0;0;0;0
"Algeria";2005;"DZA";32956690;326854475776;0;0;0;486.368;0;0;0;0;0;0;31.99;31.91;4.715;16.494;11113.723;1.121;951.552;31.36;98.276;930.312;30.66;-71.432;25764.646;849.117;96.083;15.52;16.689;0.55;1.724;16.689;0.55;1.724;0.08;0.25;0;0;0;0;0;0;21.24;0.7;33.572;30502.762;1005.27;2.194;0;0;0;0;0;0;968.24;366.272;16.689;0.55;1.724;0;0;0;0;0;0
"Algeria";2006;"DZA";33435082;345705349120;0;0;0;491.699;0;0;0;0;0;0;33.21;33.13;3.535;12.949;11341.98;1.097;984.295;32.91;99.336;963.06;32.2;-36.123;24315.623;812.995;97.193;16.29;6.58;0.22;0.664;6.58;0.22;0.664;0.08;0.241;0;0;0;0;0;0;21.235;0.71;-2.741;29984.354;1002.529;2.143;0;0;0;0;0;0;990.875;379.22;6.58;0.22;0.664;0;0;0;0;0;0
"Algeria";2007;"DZA";33983836;371665207296;0;0;0;491.71;0;0;0;0;0;0;34.99;34.98;5.385;20.42;11759.701;1.075;1022.839;34.76;99.371;1000.77;34.01;3.465;24024.947;816.46;97.227;17.2;6.474;0.22;0.629;6.474;0.22;0.629;0.01;0.029;0;0;0;0;0;0;22.069;0.75;3.256;29596.002;1005.786;2.144;0;0;0;0;0;0;1029.313;399.64;6.474;0.22;0.629;0;0;0;0;0;0
"Algeria";2008;"DZA";34569592;395658559488;0;0;0;490.88;0;0;0;0;0;0;37.78;37.83;5.985;23.917;12252.297;1.071;1086.215;37.55;99.26;1064.809;36.81;9.548;23894.057;826.008;97.304;18.57;8.1;0.28;0.74;8.1;0.28;0.74;-0.05;-0.132;0;0;0;0;0;0;21.406;0.74;-20.015;28515.539;985.771;1.956;0;0;0;0;0;0;1094.314;423.557;8.1;0.28;0.74;0;0;0;0;0;0
"Algeria";2009;"DZA";35196040;418247671808;0;0;0;489.503;0;0;0;0;0;0;36.17;36.2;5.974;25.302;12753.12;1.073;1020.001;35.9;99.171;1003.806;35.33;-60.339;21754.398;765.669;97.597;17.72;8.524;0.3;0.829;8.524;0.3;0.829;-0.03;-0.083;0;0;0;0;0;0;16.195;0.57;-87.539;25520.811;898.231;1.575;0;0;0;0;0;0;1028.525;448.859;8.524;0.3;0.829;0;0;0;0;0;0
"Algeria";2010;"DZA";35856348;450705883136;0;0;0;492.558;0;0;0;0;0;0;42.93;43;-2.198;-9.864;12243.156;0.974;1194.489;42.83;99.605;1169.11;41.92;8.297;21585.174;773.966;97.488;21.18;4.741;0.17;0.395;4.741;0.17;0.395;-0.07;-0.163;0;0;0;0;0;0;25.379;0.91;-40.228;23928.91;858.003;2.116;0;0;0;0;0;0;1199.23;438.995;4.741;0.17;0.395;0;0;0;0;0;0
"Algeria";2011;"DZA";36543548;482034778112;0;0;0;489.516;0;0;0;0;0;0;48.03;48.17;5.807;25.493;12710.541;0.964;1304.471;47.67;98.962;1277.106;46.67;22.022;21781.889;795.987;96.886;23.58;13.682;0.5;1.038;13.682;0.5;1.038;-0.14;-0.291;0;0;0;0;0;0;27.365;1;-24.423;22810.602;833.58;2.076;0;0;0;0;0;0;1318.153;464.488;13.682;0.5;1.038;0;0;0;0;0;0
"Algeria";2012;"DZA";37260568;497923358720;0;0;0;488.424;0;0;0;0;0;0;53.94;53.99;9.297;43.184;13624.909;1.02;1432.345;53.37;98.852;1405.507;52.37;-11.55;21052.752;784.438;96.999;26.37;16.64;0.62;1.148;16.64;0.62;1.148;-0.05;-0.093;0;0;0;0;0;0;26.838;1;-51.905;20978.627;781.676;1.852;0;0;0;0;0;0;1448.985;507.672;16.64;0.62;1.148;0;0;0;0;0;0
"Algeria";2013;"DZA";38000628;511887736832;0;0;0;490.589;0;0;0;0;0;0;56.23;56.32;5.772;29.305;14130.735;1.049;1473.397;55.99;99.414;1451.029;55.14;8.951;20878.307;793.389;97.905;27.63;8.684;0.33;0.586;8.684;0.33;0.586;-0.09;-0.16;0;0;0;0;0;0;22.368;0.85;-28.238;19826.984;753.438;1.509;0;0;0;0;0;0;1482.081;536.977;8.684;0.33;0.586;0;0;0;0;0;0
"Algeria";2014;"DZA";38760168;531308085248;0;0;0;490.232;0;0;0;0;0;0;60.21;60.4;9.057;48.636;15108.635;1.102;1551.851;60.15;99.586;1536.371;59.55;8.335;20684.225;801.724;98.593;29.61;6.45;0.25;0.414;6.45;0.25;0.414;-0.19;-0.316;0;0;0;0;0;0;15.48;0.6;46.369;20634.76;799.807;0.993;0;0;0;0;0;0;1558.301;585.613;6.45;0.25;0.414;0;0;0;0;0;0
"Algeria";2015;"DZA";39543148;551519125504;0;0;0;491.187;0;0;0;0;0;0;64.65;64.68;5.448;31.905;15616.311;1.12;1630.118;64.46;99.66;1608.623;63.61;12.387;20587.924;814.111;98.346;31.77;3.54;0.14;0.216;5.564;0.22;0.34;-0.03;-0.046;0;0;0;0;0;0;21.496;0.85;-17.98;19771.484;781.827;1.314;0;0;0;0;0;0;1635.682;617.518;5.564;0.22;0.34;1.517;0.06;0.093;0.506;0.02;0.031
"Algeria";2016;"DZA";40339328;574696128512;0;0;0;490.413;0;0;0;0;0;0;66.51;66.76;-0.085;-0.522;15295.143;1.074;1646.532;66.42;99.491;1625.461;65.57;99.811;22655.871;913.923;98.217;32.74;5.454;0.22;0.33;8.428;0.34;0.509;-0.25;-0.376;0;0;0;0;0;0;21.071;0.85;13.863;19724.912;795.69;1.273;0;0;0;0;0;0;1654.961;616.996;8.428;0.34;0.509;2.231;0.09;0.135;0.744;0.03;0.045
"Algeria";2017;"DZA";41136548;582167232512;0;0;0;488.671;0;0;NA;NA;NA;0;71.16;71.5;1.102;6.799;15164;1.072;1722.556;70.86;99.105;1700.191;69.94;15.843;22601.928;929.765;97.818;34.94;1.459;0.06;0.084;15.558;0.64;0.895;-0.34;-0.478;0;0;0;0;0;0;22.365;0.92;-20.573;18842.521;775.116;1.287;0;0;0;0;0;0;1738.114;623.795;15.558;0.64;0.895;13.856;0.57;0.797;0.243;0.01;0.014
