Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Escaños;Población;Número de mesas;Total censo electoral;Total votantes;Votos válidos;Votos a candidaturas;Votos en blanco;Votos nulos;PSOE;PP;VOX;UP;ERC;Cs;JxCAT;PNV;EH Bildu;MÁS PAÍS-COMP;CUP-PR;CCa-PNC-NC;NA+;BNG;PRC;¡TERUEL EXISTE!;PACMA;RECORTES CERO-GV;PUM+J;MÉS-ESQUERRA;AxSÍ;PCPE;PCTE;GBAI;UPL;PCOE;CpM;EB;ERPV;XAV;AVANT ADELANTE LOS VERDES;VERDES;PH;I.Fem;UIG-SOM-CUIDES;SOMOS REGIÓN;IZQP;AHORA CANARIAS;CONTIGO;CHA;PPSO;EXTREMADURA UNIDA;PDSJE;P-LIB;MAS;UNIDOS SÍ-ACPS-Def;PREPAL;ANDECHA;MDyC;PYLN;FE de las JONS;AUNACV;UNIÓN REGIONALISTA;Canda;FIA;SOLIDARIA;RISA;centrados;DPL;IZAR;C 21;UDT
Andalucía                     ;4;Almería                       ;6;709340;809;502627;305414;302424;299763;2661;2990;89295;78072;80714;24400;0;22835;0;0;0;0;0;0;0;0;0;0;2582;360;371;0;318;303;0;0;0;0;0;513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;11;Cádiz                         ;9;1238714;1520;1002295;624195;616079;606858;9221;8116;188271;111089;131205;93541;0;55490;0;0;0;11316;0;0;0;0;0;0;8437;915;707;0;3509;639;0;0;0;1739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;14;Córdoba                       ;6;785240;935;648341;451775;444376;438971;5405;7399;146761;99999;82534;64769;0;36229;0;0;0;0;0;0;0;0;0;0;3946;549;478;0;1019;544;321;0;0;1062;0;760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;18;Granada                       ;7;912075;1100;755007;490902;482779;478251;4528;8123;160190;105192;99928;59331;0;37772;0;0;0;8629;0;0;0;0;0;0;4095;545;624;0;619;371;322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;520;0;0;0;0;0;113;0;0
Andalucía                     ;21;Huelva                        ;5;519932;650;399019;255329;250681;247336;3345;4648;91656;49452;52485;30389;0;18382;0;0;0;0;0;0;0;0;0;0;2535;495;351;0;856;159;112;0;0;464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;23;Jaén                          ;5;638099;892;526659;371043;365106;361745;3361;5937;141737;82055;71950;35962;0;24816;0;0;0;0;0;0;0;0;0;0;2766;464;419;0;856;0;471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;0;0;0;0;0
Andalucía                     ;29;Málaga                        ;11;1641121;1662;1197688;766819;756721;748363;8358;10098;226831;163177;162280;97801;0;66995;0;0;0;14112;0;0;0;0;0;0;11089;1261;904;0;1686;581;381;0;0;1265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;41;Sevilla                       ;12;1939887;2560;1547744;1071247;1053518;1039725;13793;17729;380385;188166;188813;153435;0;83575;0;0;0;22388;0;0;0;0;0;0;12035;1456;1402;0;5183;842;550;0;0;1495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;22;Huesca                        ;3;219345;399;172722;114791;113597;112234;1363;1194;38101;29804;17237;14035;0;9244;0;0;0;0;0;0;0;0;0;0;735;198;153;0;0;100;86;0;0;0;0;393;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;73;0;0;0;0;75;0;0;0;0;0;0;0
Aragón                        ;44;Teruel                        ;3;134572;333;107467;74661;74130;73727;403;531;18934;17520;9346;3982;0;3732;0;0;0;0;0;0;0;0;0;19761;212;0;35;0;0;45;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;13;0;0;0;0;0;0;0;0;0;26
Aragón                        ;50;Zaragoza                      ;7;954811;1435;739573;517639;513284;508295;4989;4355;158326;119909;92353;57875;0;47001;0;0;0;23196;0;0;0;0;0;0;3618;861;485;0;0;331;414;0;0;0;0;1940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1068;0;0;0;0;532;0;0;0;0;386;0;0;0;0;0;0;0
Canarias                      ;35;Las Palmas                    ;8;1109175;1511;871728;489354;483928;479953;3975;5426;141078;103375;64515;74648;0;28018;0;0;0;8389;0;48028;0;0;0;0;5796;505;552;0;0;728;0;0;0;0;0;0;0;0;0;1864;276;0;0;0;0;1110;358;0;0;0;713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canarias                      ;38;Santa Cruz de Tenerife        ;7;1018510;1307;855138;468022;463579;460199;3380;4443;132518;93434;53491;64613;0;22979;0;0;0;6583;0;76261;0;0;0;0;6150;489;319;0;0;464;0;0;0;0;0;418;0;0;0;1322;0;0;0;0;0;922;236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cantabria                     ;39;Cantabria                     ;5;580229;741;501676;329821;327089;325422;1667;2732;76028;84583;48827;28376;0;15609;0;0;0;0;0;0;0;0;68830;0;1856;232;187;0;0;262;247;0;0;0;0;259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;2;Albacete                      ;4;388786;519;309996;216917;214304;212482;1822;2613;69848;58835;44306;20771;0;15947;0;0;0;0;0;0;0;0;0;0;1651;222;375;0;0;177;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;13;Ciudad Real                   ;5;499100;706;395785;272470;268594;266237;2357;3876;92046;74835;56050;22250;0;18337;0;0;0;0;0;0;0;0;0;0;1788;447;484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;16;Cuenca                        ;3;197222;383;154441;110537;109119;108117;1002;1418;40670;33721;20108;7529;0;5094;0;0;0;0;0;0;0;0;0;0;545;125;129;0;0;83;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;19;Guadalajara                   ;3;254308;523;187371;133796;132154;131006;1148;1642;41167;30443;31683;14897;0;10169;0;0;0;0;0;0;0;0;0;0;1266;287;284;0;0;87;106;0;0;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;234;0;0;0;0;0;0;0;188;0;0;0;0;0;0;0;0;0;0;0
